"cause","effect"
"ADCY4","ADCY5"
"ADCY4","ADCY5"
"ADCY4","ADCY7"
"ADCY4","ADCY7"
"ADCY4","CAMK2D"
"ADCY4","CAMK2D"
"ADCY4","EDN1"
"ADCY4","EDN1"
"ADCY4","EDNRA"
"ADCY4","EDNRA"
"ADCY4","GIMAP7"
"ADCY4","GIMAP7"
"ADCY4","GNAI3"
"ADCY4","GNAI3"
"ADCY4","GNAS"
"ADCY4","GNAS"
"ADCY4","GNB1"
"ADCY4","GNB1"
"ADCY4","GNG10"
"ADCY4","GNG10"
"ADCY4","GNG2"
"ADCY4","GNG2"
"ADCY4","PDE3A"
"ADCY4","PDE3A"
"ADCY4","PDE4B"
"ADCY4","PDE4B"
"ADCY4","PDE4C"
"ADCY4","PDE4C"
"ADCY4","PDE4D"
"ADCY4","PDE4D"
"ADCY4","PDE5A"
"ADCY4","PDE5A"
"ADCY4","PDE6B"
"ADCY4","PDE6B"
"ADCY4","PRKACB"
"ADCY4","PRKACB"
"ADCY4","PRKAR1A"
"ADCY4","PRKAR1A"
"ADCY4","RAPGEF3"
"ADCY4","RAPGEF3"
"ADCY4","RAPGEF4"
"ADCY4","RAPGEF4"
"ADCY5","PDE6B"
"ADCY5","PDE6B"
"ADCY7","GNB1"
"ADCY7","GNB1"
"ADCY7","PDE6B"
"ADCY7","PDE6B"
"ADCY7","RAPGEF3"
"ADCY7","RAPGEF3"
"ADCY7","RAPGEF4"
"ADCY7","RAPGEF4"
"ADCY8","ADCY7"
"ADCY8","ADCY7"
"ADCY8","ADORA2B"
"ADCY8","ADORA2B"
"ADCY8","GLP1R"
"ADCY8","GLP1R"
"ADCY8","GNB1"
"ADCY8","GNB1"
"ADCY8","GRIN2A"
"ADCY8","GRIN2A"
"ADCY8","PDE4D"
"ADCY8","PDE4D"
"ADCY8","PKM"
"ADCY8","PKM"
"ADCY8","RAPGEF3"
"ADCY8","RAPGEF3"
"ADCY9","ADCY4"
"ADCY9","ADCY4"
"ADCY9","ADCY5"
"ADCY9","ADCY5"
"ADCY9","ADCY7"
"ADCY9","ADCY7"
"ADCY9","EDN1"
"ADCY9","EDN1"
"ADCY9","EDNRA"
"ADCY9","EDNRA"
"ADCY9","GNAI3"
"ADCY9","GNAI3"
"ADCY9","GNB1"
"ADCY9","GNB1"
"ADCY9","GNG10"
"ADCY9","GNG10"
"ADCY9","GNG12"
"ADCY9","GNG12"
"ADCY9","GNG7"
"ADCY9","GNG7"
"ADCY9","PDE3A"
"ADCY9","PDE3A"
"ADCY9","PDE4B"
