"cause","effect"
"ADAMTS5","ADAMTS3"
"ADAMTS5","ADAMTS4"
"ADAMTS5","ADAMTS7"
"ADAMTS5","ADAMTS9"
"ADAMTS5","ADAMTSL1"
"ADAMTS5","ADAMTSL4"
"ADAMTS5","POFUT2"
"ADAMTS5","SBSPON"
"ADAMTS5","SDC4"
"ADAMTS5","SEMA5B"
"ADAMTS5","SPON1"
"ADAMTS5","THBS2"
"ADAMTS5","THSD4"
"ADAMTS5","THSD7A"
"ADAMTS7","ADAMTS20"
"ADAMTS7","ADAMTS9"
"ADAMTS7","SEMA5B"
"ADAMTS7","SPON1"
"ADAMTS7","THSD7A"
"ADAMTS9","SPON1"
"ADAMTSL1","ADAMTS20"
"ADAMTSL1","ADAMTS7"
"ADAMTSL1","ADAMTS9"
"ADAMTSL1","SEMA5B"
"ADAMTSL1","SPON1"
"ADAMTSL1","THSD7A"
"ADAMTSL4","ADAMTS13"
"ADAMTSL4","ADAMTS14"
"ADAMTSL4","ADAMTS20"
"ADAMTSL4","ADAMTS7"
"ADAMTSL4","ADAMTS9"
"ADAMTSL4","ADAMTSL1"
"ADAMTSL4","SEMA5B"
"ADAMTSL4","SPON1"
"ADAMTSL4","THSD7A"
"ADAT2","ADAD2"
"ADAT2","ADAT3"
"ADAT2","GNRH2"
"ADAT2","METTL1"
"ADAT3","CDA"
"ADAT3","METTL13"
"ADCK3","PDSS1"
"ADCY10","GNAS"
"ADCY10","PDE10A"
"ADCY10","PDE1C"
"ADCY10","PDE4A"
"ADCY10","PDE6B"
"ADCY10","PDE6C"
"ADCY2","ADCY5"
"ADCY2","ADCY7"
"ADCY2","CAMK2A"
"ADCY2","CAMK2B"
"ADCY2","EDN1"
"ADCY2","ENTPD2"
"ADCY2","GNAI1"
"ADCY2","GNAI3"
"ADCY2","GNAS"
"ADCY2","GNAZ"
"ADCY2","GNG10"
"ADCY2","PDE10A"
"ADCY2","PDE1C"
"ADCY2","PDE4A"
"ADCY2","PDE5A"
"ADCY2","PDE6B"
"ADCY2","RAPGEF4"
"ADCY3","ADCY2"
"ADCY3","ADCY4"
"ADCY3","ADCY5"
"ADCY3","ADCY6"
"ADCY3","ADCY7"
"ADCY3","ADCY8"
"ADCY3","ADCY9"
"ADCY3","AVPR2"
"ADCY3","CAMK2A"
"ADCY3","CAMK2B"
"ADCY3","CAMK2D"
"ADCY3","EDN1"
"ADCY3","EDNRA"
"ADCY3","ENTPD2"
"ADCY3","GNAI1"
"ADCY3","GNAI3"
"ADCY3","GNAL"
"ADCY3","GNAS"
"ADCY3","GNAZ"
"ADCY3","GNB5"
"ADCY3","GNG10"
"ADCY3","GNG4"
"ADCY3","GNG7"
"ADCY3","PDE10A"
"ADCY3","PDE11A"
"ADCY3","PDE1C"
"ADCY3","PDE2A"
"ADCY3","PDE4A"
"ADCY3","PDE5A"
"ADCY3","PDE6B"
"ADCY3","PDE6C"
"ADCY3","PDE6D"
"ADCY3","PDE7B"
"ADCY3","PDE8A"
"ADCY3","PDE9A"
"ADCY3","PRKAR2B"
"ADCY3","PRKCD"
"ADCY3","PRKCE"
"ADCY3","PROK1"
"ADCY3","RAPGEF3"
"ADCY3","RAPGEF4"
"ADCY4","ADCY5"
"ADCY4","ADCY7"
"ADCY4","CAMK2D"
"ADCY4","EDN1"
"ADCY4","EDNRA"
"ADCY4","ENTPD2"
"ADCY4","GNAI1"
"ADCY4","GNAI3"
"ADCY4","GNAL"
"ADCY4","GNAS"
"ADCY4","GNAZ"
"ADCY4","GNG10"
"ADCY4","GNG2"
"ADCY4","GNG5"
"ADCY4","PDE10A"
"ADCY4","PDE1C"
"ADCY4","PDE2A"
"ADCY4","PDE4A"
"ADCY4","PDE5A"
"ADCY4","PDE6B"
"ADCY4","PDE6C"
"ADCY4","PRKCD"
"ADCY4","RAPGEF3"
"ADCY4","RAPGEF4"
"ADCY5","GNAZ"
"ADCY5","PDE10A"
"ADCY5","PDE6B"
"ADCY6","ADCY2"
"ADCY6","ADCY4"
"ADCY6","ADCY5"
"ADCY6","ADCY7"
"ADCY6","ADRB1"
"ADCY6","AVPR2"
"ADCY6","EDN1"
"ADCY6","EDNRA"
"ADCY6","ENTPD2"
"ADCY6","GNAI1"
"ADCY6","GNAI3"
"ADCY6","GNAL"
"ADCY6","GNAS"
"ADCY6","GNAZ"
"ADCY6","PDE10A"
"ADCY6","PDE1C"
"ADCY6","PDE2A"
"ADCY6","PDE4A"
"ADCY6","PDE5A"
"ADCY6","PDE6B"
"ADCY6","PDE6C"
"ADCY6","PDE8A"
"ADCY6","PRKCD"
"ADCY6","RAPGEF3"
"ADCY6","RAPGEF4"
"ADCY7","ADCY5"
"ADCY7","GNAZ"
"ADCY7","PDE10A"
"ADCY7","PDE1C"
"ADCY7","PDE6B"
"ADCY7","PRKCD"
"ADCY7","RAPGEF3"
"ADCY7","RAPGEF4"
"ADCY8","ADCY6"
"ADCY8","CAMK2B"
"ADCY8","EDN1"
"ADCY8","ENTPD2"
"ADCY8","GLP1R"
"ADCY8","GNAI1"
"ADCY8","GNAI3"
"ADCY8","GNAS"
"ADCY8","GNAZ"
"ADCY8","GNG4"
"ADCY8","GRIN2A"
"ADCY8","PDE10A"
"ADCY8","PDE2A"
"ADCY8","PDE4A"
"ADCY8","PDE6B"
"ADCY8","PDE6C"
"ADCY8","PRKCD"
"ADCY8","PRKCE"
"ADCY8","RAPGEF4"
"ADCY9","ADCY2"
"ADCY9","ADCY4"
