"Name","K","Kin","Kout","TypeI","TypeII"
"FBXO45",4,3,1,0,1
"VANGL2",12,8,4,0,1
"POLR2K",23,13,10,0,1
"PLD4",9,7,2,0,1
"PIP",4,2,2,0,1
"ESR1",30,18,12,0,1
"KLF4",10,7,3,0,1
"CENPH",29,7,22,0,1
"SLC22A1",3,2,1,0,1
"CES1",10,7,3,0,1
"CFAP45",3,1,2,0,1
"MARVELD2",14,7,7,0,1
"MEAF6",15,8,7,0,1
"OPN3",3,2,1,0,1
"GDF5",9,4,5,0,1
"RAPSN",14,2,12,0,1
"MMP1",29,18,11,0,1
"DCK",19,5,14,0,1
"DTYMK",14,7,7,0,1
"CNOT6",6,2,4,0,1
"PABPC1",22,3,19,0,1
"DPP6",9,5,4,0,1
